19533,applejack,,{"BOULDER SHAKE PORTER 6PK"},{/beer/product/4100-BOULDER-SHAKE-PORTER-6PK},,,{$8.99},2013-12-21 20:45:44.499185,,
19548,applejack,,{"TECATE SUITCASE CANS"},{/beer/product/25003-TECATE-SUITCASE-CANS},,,{$20.99},2013-12-21 20:45:44.97403,,
19551,applejack,,{"TELLURIDE TEMPTER IPA 6PK"},{/beer/product/3206-TELLURIDE-TEMPTER-IPA-6PK},,,{$8.99},2013-12-21 20:45:45.009841,,
5194,applejack,,{"SWEATY BETTY 6PK"},{/beer/product/9201-SWEATY-BETTY-6PK},,,{$8.99},2013-12-21 20:45:45.739812,,
19587,applejack,,{"BRISTOL CHRISTMAS"},{/beer/product/26774-BRISTOL-CHRISTMAS},,,{$6.99},2013-12-21 20:45:48.533117,,
19593,applejack,,{"STONE SMOKED VANILLA 22OZ"},{/beer/product/28074-STONE-SMOKED-VANILLA-22OZ},,,{$8.99},2013-12-21 20:45:48.698107,,
19614,applejack,,{"STONE MIXED 12PK"},{/beer/product/3529-STONE-MIXED-12PK},,,{$18.99},2013-12-21 20:45:49.095115,,
19631,applejack,,{"BRUNEHAUT AMBER 4PK"},{/beer/product/28318-BRUNEHAUT-AMBER-4PK},,,{$12.99},2013-12-21 20:45:50.863619,,
19644,applejack,,{"BUD LIGHT 12PK CANS"},{/beer/product/523-BUD-LIGHT-12PK-CANS},,,{$11.99},2013-12-21 20:45:52.140694,,
19664,applejack,,{"SQUATTERS HOP RISING 6PK"},{/beer/product/3795-SQUATTERS-HOP-RISING-6PK},,,{$9.99},2013-12-21 20:45:52.574846,,
19668,applejack,,{"ST BERNARDUS PRIOR 8 750ML"},{/beer/product/3230-ST-BERNARDUS-PRIOR-8-750ML},,,{$12.99},2013-12-21 20:45:52.633485,,
5251,applejack,,{"STELLA ARTOIS LOOSE 24PK"},{/beer/product/8767-STELLA-ARTOIS-LOOSE-24PK},,,{$27.99,$24.99},2013-12-21 20:45:52.665484,,
19671,applejack,,{"STELLA ARTOIS STAR"},{/beer/product/24364-STELLA-ARTOIS-STAR},,,{$4.99},2013-12-21 20:45:52.745338,,
19700,applejack,,{"SMIRNOFF ICE CRISP APPLE 6PK"},{/beer/product/8019-SMIRNOFF-ICE-CRISP-APPLE-6PK},,,{$7.99},2013-12-21 20:45:56.107852,,
19701,applejack,,{"SMIRNOFF ICE GREEN APPLE 6PK"},{/beer/product/2844-SMIRNOFF-ICE-GREEN-APPLE-6PK},,,{$7.99},2013-12-21 20:45:56.122689,,
19702,applejack,,{"SMIRNOFF ICE MANGO 6PK"},{/beer/product/9975-SMIRNOFF-ICE-MANGO-6PK},,,{$7.99},2013-12-21 20:45:56.139856,,
19703,applejack,,{"SMIRNOFF ICE RASPBERRY 6PK"},{/beer/product/2845-SMIRNOFF-ICE-RASPBERRY-6PK},,,{$7.99},2013-12-21 20:45:56.156668,,
19704,applejack,,{"SMIRNOFF ICE SCREWDRIVER 6PK"},{/beer/product/27079-SMIRNOFF-ICE-SCREWDRIVER-6PK},,,{$7.99},2013-12-21 20:45:56.173185,,
19705,applejack,,{"SMIRNOFF ICE STRAWBERRY ACAI 6PK"},{/beer/product/2847-SMIRNOFF-ICE-STRAWBERRY-ACAI-6PK},,,{$7.99},2013-12-21 20:45:56.189864,,
19706,applejack,,{"SMIRNOFF ICE TROPICAL 6PK"},{/beer/product/27078-SMIRNOFF-ICE-TROPICAL-6PK},,,{$7.99},2013-12-21 20:45:56.206486,,
19715,applejack,,{"SMIRNOFF ICE BLUEBERRY 6PK"},{/beer/product/23150-SMIRNOFF-ICE-BLUEBERRY-6PK},,,{$7.99},2013-12-21 20:45:57.283641,,
